,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,average_heartrate,average_cadence,elev_high,elev_low,gear_id
43,8307634261,Morning Run,2022-12-29T07:52:57Z,Run,6680.0,1701,1701,29.0,"[45.506854355335236, -122.67277222126722]",148.6,92.2,19.4,-0.6,g11501925
44,8303663938,Morning Trail Run,2022-12-28T10:06:50Z,Run,7200.8,2531,2629,205.0,"[44.60369464941323, -123.3326545637101]",133.8,86.5,342.0,147.4,g12058101
45,8299491712,Morning Run,2022-12-27T09:15:44Z,Run,22219.9,8835,9280,957.9,"[44.580437, -123.289343]",133.0,82.1,656.9,90.0,g12058101
46,8291273934,Afternoon Hike,2022-12-25T16:35:15Z,Hike,1929.5,2012,2975,31.0,"[40.822875, -111.902022]",68.9,57.9,1593.2,1578.0,g10053422
47,8290822101,Lunch Hike,2022-12-25T11:22:31Z,Hike,1059.2,1398,2186,39.0,"[40.86385960690677, -111.83680613525212]",71.9,52.8,1635.4,1610.0,g10053422
48,8287643718,Afternoon Yoga,2022-12-24T14:07:35Z,Yoga,0.0,916,916,0,[],69.6,,,,
49,8286562724,Morning Trail Run,2022-12-24T06:31:43Z,Run,13514.7,5892,5989,434.0,"[40.77977729961276, -111.88551756553352]",122.2,87.0,1719.8,1354.8,g12058101
50,8282980312,Morning Trail Run,2022-12-23T09:52:09Z,Run,12337.0,4744,4874,348.0,"[40.720149613916874, -111.80512287653983]",135.8,88.1,1702.6,1555.4,g12058101
51,8279861424,Lunch Nordic Ski,2022-12-22T11:55:54Z,NordicSki,10689.6,5221,6897,179.0,"[40.75002430938184, -111.69774642214179]",95.4,,1793.4,1744.0,
52,8276497124,Afternoon Trail Run,2022-12-21T14:32:06Z,Run,10266.7,4940,5187,615.0,"[40.69744588807225, -111.74009883776307]",129.4,79.8,2146.4,1760.2,g12058101
53,8268528034,Afternoon Ski,2022-12-19T14:37:24Z,BackcountrySki,9778.3,5002,5110,551.0,"[40.699097, -111.722279]",117.4,46.8,2111.6,1831.8,
54,8264996534,Afternoon Trail Run,2022-12-18T15:21:50Z,Run,11410.9,4305,4412,323.0,"[40.86479184217751, -111.83830490335822]",139.3,88.2,1913.4,1595.6,g12058101
55,8259750832,Morning Trail Run,2022-12-17T08:02:16Z,Run,14614.2,7951,8351,791.0,"[40.750898038968444, -111.81148189119995]",117.2,78.1,1921.0,1492.6,g11501925
56,8247730449,Morning Workout,2022-12-14T06:45:40Z,Workout,0.0,3254,3254,0,[],113.6,,,,
57,8385866753,Missing Treadmill Vert,2022-12-13T08:50:00Z,Run,16.1,10,10,304.8,[],,,,,g10369972
58,8243743444,Treadmill ,2022-12-13T06:52:30Z,Run,9693.0,3085,3085,0,[],142.3,88.5,1320.4,1315.2,g9558973
59,8240408606,Morning Trail Run,2022-12-12T09:30:48Z,Run,8221.3,4189,4277,355.0,"[40.822700187563896, -111.9021289050579]",133.5,75.3,1877.8,1582.6,g12058101
60,8232644094,Morning Trail Run,2022-12-10T09:41:15Z,Run,13446.5,5018,5176,367.0,"[40.720367040485144, -111.80572411045432]",126.8,86.9,1701.4,1547.8,g12058101
61,8227481075,Morning Trail Run,2022-12-09T05:02:15Z,Run,13383.3,5720,5842,421.0,"[40.7797855976969, -111.8853821977973]",137.0,87.3,1720.2,1359.0,g10644275
62,8225054433,Lunch Trail Run,2022-12-08T12:48:13Z,Run,12782.1,5008,5048,590.0,"[40.77972801402211, -111.8855634983629]",144.5,79.2,1883.8,1391.2,g12058101
63,8217221892,Afternoon Trail Run,2022-12-06T16:31:26Z,Run,8295.3,3104,3205,380.0,"[40.79183022491634, -111.87818951904774]",132.5,87.5,1720.0,1417.6,g12058101
64,8212373628,Treadmill ,2022-12-05T15:08:02Z,Run,9691.7,2778,2778,0,[],127.6,88.0,,,g10369972
65,8202900208,Morning Trail Run,2022-12-03T07:39:31Z,Run,17038.0,10017,11204,1049.0,"[40.707449773326516, -111.79584310390055]",123.2,71.1,2514.6,1507.6,g10644275
66,8198444525,Morning Run,2022-12-02T09:51:39Z,Run,9211.9,3121,3176,7.0,"[40.79376854002476, -111.93464339710772]",143.7,88.9,1289.2,1279.0,g10644275
67,8195087914,Lunch Trail Run,2022-12-01T12:55:21Z,Run,8273.6,2691,2691,259.0,"[40.727579332888126, -111.80604320950806]",136.2,90.4,1703.2,1533.0,g10644275
68,8185182971,Morning Run,2022-11-29T09:05:36Z,Run,5529.7,1959,1979,7.0,"[40.7937921769917, -111.93464482203126]",129.7,88.2,1287.6,1280.8,g10053422
69,8182259692,Treadmill ,2022-11-28T15:55:28Z,Run,6657.9,1888,1888,0,[],133.5,89.8,,,g10369972
70,8182271209,Missing Treadmill miles,2022-11-28T15:46:00Z,Run,1609.4,510,510,0,[],,,,,g10369972
71,8177286127,Morning Run,2022-11-27T10:15:23Z,Run,9557.2,3291,3604,47.0,"[40.658645052462816, -111.84391080401838]",121.8,91.6,1361.4,1329.4,g10369972
72,8171965810,Morning Trail Run,2022-11-26T08:00:16Z,Run,14000.7,6219,6227,436.0,"[40.79199828207493, -111.87799665145576]",125.4,85.7,1727.2,1438.0,g12058101
73,8166937506,Morning Trail Run,2022-11-25T08:03:05Z,Run,10282.1,4128,4190,458.0,"[40.82227983511984, -111.90297145396471]",138.5,83.4,1888.2,1591.8,g10644275
74,8164096782,Lunch Run,2022-11-24T12:44:41Z,Run,8221.2,2297,2937,139.0,"[40.7238007709384, -111.84921193867922]",143.8,90.9,1366.8,1342.4,g9558973
75,8158385138,Morning Trail Run,2022-11-23T08:42:56Z,Run,12243.2,5130,5354,485.0,"[40.822266172617674, -111.90302912145853]",130.0,81.3,1940.8,1592.8,g11501925
76,8146584176,Lunch Trail Run,2022-11-20T12:47:07Z,Run,16083.3,6100,6150,707.0,"[40.82231931388378, -111.90290632657707]",135.1,84.9,2059.0,1592.0,g11501925
77,8140566294,Morning Trail Run,2022-11-19T08:53:29Z,Run,11428.4,3994,4115,438.0,"[40.82023221999407, -111.90337705425918]",135.4,90.9,1887.8,1582.0,g11501925
78,8130636645,Morning Trail Run,2022-11-17T05:01:32Z,Run,13338.2,5492,5610,426.0,"[40.77978115528822, -111.88542678952217]",128.9,89.2,1718.8,1355.4,g11501925
79,8128699877,Afternoon Hike,2022-11-16T17:37:22Z,Hike,427.2,379,379,0.0,"[40.79372093081474, -111.93462235853076]",57.0,57.0,1286.6,1285.4,g10053422
80,8123811052,Afternoon Trail Run,2022-11-15T15:12:54Z,Run,8242.2,2861,2864,325.0,"[40.78531438484788, -111.85233419761062]",131.4,89.1,1783.2,1570.2,g11856015
81,8116896882,Morning Yoga,2022-11-14T07:27:50Z,Yoga,0.0,788,788,0,[],61.2,,,,
82,8113309806,Morning Trail Run,2022-11-13T07:42:32Z,Run,15731.0,6856,7154,682.0,"[40.84635592997074, -111.85356558300555]",138.0,85.7,2187.8,1692.0,g11856015
83,8108032514,Morning Run,2022-11-12T10:08:29Z,Run,7312.5,1938,1944,8.0,"[40.78114262782037, -111.90837216563523]",143.3,91.2,1290.4,1285.6,g10369972
84,8097049571,Morning Trail Run,2022-11-10T06:02:25Z,Run,11471.6,4621,4712,431.0,"[40.779627515003085, -111.88551865518093]",134.7,86.7,1734.0,1373.6,g11856015
85,8090302876,Treadmill ,2022-11-08T20:54:13Z,Run,8846.7,2704,2704,0,[],128.2,86.6,,,g9558973
86,8087194364,Morning Yoga,2022-11-08T07:23:35Z,Yoga,0.0,995,995,0,[],67.5,,,,
87,8084500903,Afternoon Trail Run,2022-11-07T15:33:41Z,Run,5784.4,2110,2153,247.0,"[40.78547607176006, -111.85251759365201]",143.3,87.3,1797.8,1608.0,g11856015
88,8079321164,Lunch Mountain Bike Ride,2022-11-06T11:14:15Z,Ride,16279.4,4663,4740,285.0,"[38.63764984533191, -109.78539182804525]",119.3,,1710.0,1573.6,b3678440
89,8074572847,Afternoon Trail Run,2022-11-05T17:31:15Z,Run,6545.6,2817,2949,248.0,"[38.5318192653358, -109.51728357933462]",133.4,82.6,1607.4,1393.8,g10053422
90,8074353546,Afternoon Mountain Bike Ride,2022-11-05T15:04:04Z,Ride,13080.8,4150,4996,320.0,"[38.57750164344907, -109.46348156780005]",117.6,,1786.4,1557.0,b3678440
91,8074353006,Afternoon Hike,2022-11-05T13:22:29Z,Hike,1352.1,1007,1253,6.0,"[38.54450888000429, -109.59626725874841]",70.2,57.8,1216.6,1209.2,g10053422
92,8074352851,Lunch Hike,2022-11-05T11:21:33Z,Hike,1462.9,1052,1091,12.0,"[38.533776104450226, -109.60093103349209]",89.8,60.1,1221.6,1208.0,g10053422
93,8074352752,Morning Hike,2022-11-05T10:14:28Z,Hike,2356.5,1941,2229,30.0,"[38.53167752735317, -109.50783474370837]",82.3,59.1,1401.8,1382.2,g10053422
94,8067840617,Treadmill ,2022-11-04T10:14:26Z,Run,8083.6,2323,2323,0,[],154.4,88.9,,,g9558973
95,8064687152,Afternoon Trail Run,2022-11-03T15:29:56Z,Run,7233.1,2692,2789,300.0,"[40.79193147830665, -111.87807812355459]",137.3,87.3,1716.2,1429.4,g11501925
96,8060135998,Treadmill ,2022-11-02T16:19:26Z,Run,8078.2,2465,2515,0,[],124.5,87.9,,,g9558973
97,8055063403,Afternoon Trail Run,2022-11-01T15:48:31Z,Run,9145.5,3230,3363,206.0,"[40.79194212332368, -111.87811978161335]",132.0,87.5,1594.6,1429.4,g11501925
98,8043941123,Morning Trail Run,2022-10-30T08:04:22Z,Run,13363.0,7652,8515,775.0,"[40.79195779748261, -111.87807636335492]",118.2,69.9,1931.8,1429.4,g11856015
99,8030131756,Bootanicles,2022-10-27T18:31:18Z,Hike,1747.1,2259,4755,36.0,"[40.764852818101645, -111.82436848059297]",85.7,51.7,1542.6,1518.2,
100,8026944749,Morning Trail Run,2022-10-27T05:01:09Z,Run,13120.3,5660,5725,436.0,"[40.77971921302378, -111.88555603846908]",121.4,85.9,1722.0,1376.2,g11856015
101,8012536083,Morning Trail Run,2022-10-24T07:38:34Z,Run,11258.0,3662,3716,452.0,"[44.60387108847499, -123.33257216960192]",133.9,90.2,527.6,141.0,g10644275
102,7990023930,Afternoon Mountain Bike Ride,2022-10-19T15:31:42Z,Ride,22936.6,5524,5561,677.0,"[40.86580345407128, -111.84093254618347]",130.0,,2196.8,1573.0,b3678440
103,7982282258,Morning Trail Run,2022-10-18T06:42:25Z,Run,11883.7,4099,4156,493.0,"[40.84637152031064, -111.85350892134011]",133.2,89.7,2186.8,1684.2,g11501925
104,7973562429,Morning Trail Run,2022-10-16T07:32:36Z,Run,19207.1,10231,11170,1201.0,"[40.63812338747084, -111.62142877466977]",120.6,69.7,3001.0,2244.4,g11501925
105,7969260525,Evening Ride,2022-10-15T18:26:03Z,Ride,7191.9,1228,1228,74.0,"[40.77923105098307, -111.88561253249645]",103.6,,1486.8,1394.8,b4786712
106,7968681074,Afternoon Ride,2022-10-15T14:29:21Z,Ride,6962.5,1345,1345,123.0,"[40.76931903138757, -111.84550805948675]",119.9,,1482.6,1393.6,b4786712
107,7968314472,Lunch Trail Run,2022-10-15T12:05:53Z,Run,10630.9,3855,3892,487.0,"[40.826127380132675, -111.89665242098272]",139.0,88.1,1942.0,1584.2,g11501925
108,7961777071,Morning Trail Run,2022-10-14T07:05:48Z,Run,8869.4,4176,4446,488.0,"[40.74137167073786, -111.61796553991735]",130.0,79.8,2629.0,2254.4,g11501925
109,7954851610,Evening Ride,2022-10-12T18:02:30Z,Ride,19389.2,3619,3801,37.0,"[40.79371212981641, -111.93467457778752]",85.4,,1292.8,1282.2,b4786712
110,7951537482,Morning Trail Run,2022-10-12T05:31:06Z,Run,9169.2,3740,3747,219.0,"[40.7918790075928, -111.87821206636727]",141.2,86.5,1602.0,1427.2,g11501925
111,7949195162,Afternoon Trail Run,2022-10-11T16:11:48Z,Run,8736.6,3288,3363,346.0,"[40.78558721579611, -111.85273133218288]",127.4,84.0,1769.0,1581.0,g11501925
112,7944305519,Evening Yoga,2022-10-10T20:29:47Z,Yoga,0.0,1602,1602,0,[],59.8,,,,
113,7943942183,Afternoon Hike,2022-10-10T17:07:17Z,Hike,2678.2,2378,2521,108.0,"[40.86134587414563, -111.83105070143938]",82.2,56.3,1734.8,1646.6,g10053422
114,7932080774,Morning Trail Run,2022-10-08T09:38:53Z,Run,11512.1,5779,6347,719.0,"[40.88171800598502, -111.84434875845909]",120.8,83.7,2169.2,1545.0,g11501925
115,7927707630,Afternoon Mountain Bike Ride,2022-10-07T15:22:01Z,Ride,27905.5,7575,8459,808.0,"[40.75070005841553, -111.81134786456823]",124.8,,1794.6,1415.4,b3678440
116,7923427029,Evening Run,2022-10-06T19:01:43Z,Run,2782.8,874,951,2.0,"[40.798792066052556, -111.93588911555707]",119.4,87.1,1344.4,1284.0,g11501925
117,7923427005,Afternoon Trail Run,2022-10-06T17:49:40Z,Run,6424.1,2879,3006,303.0,"[40.86498378776014, -111.83880052529275]",123.6,84.7,1891.4,1591.4,g11501925
118,7918161518,Afternoon Hike,2022-10-05T17:55:12Z,Hike,962.0,1256,1683,1.0,[],69.5,51.0,1287.4,1285.4,g10053422
119,7917906311,Afternoon Trail Run,2022-10-05T15:47:48Z,Run,9810.2,3601,3641,216.0,"[40.79190457239747, -111.87817057594657]",125.5,86.4,1605.4,1429.4,g11501925
120,7912912133,Afternoon Trail Run,2022-10-04T16:38:59Z,Run,7853.4,3491,3526,445.0,"[40.78150196000934, -111.84300002641976]",131.2,77.1,1942.6,1572.2,g11501925
121,7901738227,Morning Trail Run,2022-10-02T09:53:10Z,Run,23024.6,8462,8763,651.0,"[40.86539684794843, -111.83956218883395]",135.3,87.8,2180.6,1590.8,g11501925
122,7890829277,Morning Hike,2022-09-30T08:58:10Z,Hike,2713.9,2801,4089,38.0,"[44.64267301373184, -124.05986529774964]",79.8,54.8,35.4,0.0,g10053422
123,7890829376,Evening Hike,2022-09-29T18:14:44Z,Hike,1271.3,1482,1912,23.0,"[44.71658463589847, -124.05840676277876]",65.0,53.5,20.2,0.4,g10053422
124,7886088417,Morning Hike,2022-09-29T10:00:57Z,Hike,2698.4,2760,2927,56.0,"[45.5915433447808, -122.80209350399673]",82.3,53.3,289.6,249.0,
125,7881303088,Morning Trail Run,2022-09-28T09:49:53Z,Run,11876.4,4557,4766,506.0,"[45.61157106421888, -122.79729779809713]",126.7,89.0,297.8,25.6,g11501925
126,7880809970,Morning Hike,2022-09-27T08:22:06Z,Hike,1430.4,1502,1741,6.0,"[45.53595305420458, -122.53349625505507]",69.6,54.5,95.2,86.8,g10053422
127,7880809445,Morning Hike,2022-09-25T08:11:37Z,Hike,1426.9,1626,1879,91.0,"[45.53601608611643, -122.53337119705975]",68.9,51.3,96.6,86.4,g10053422
128,7851149193,Afternoon Trail Run,2022-09-22T13:05:20Z,Run,6459.0,2389,2472,186.0,"[40.83531771786511, -111.87058981508017]",115.0,84.7,1955.0,1779.4,g11501925
129,7838221741,Morning Trail Run,2022-09-20T06:01:12Z,Run,11849.8,4908,5120,417.0,"[40.7797322049737, -111.88545629382133]",121.9,86.3,1721.2,1380.0,g11501925
130,7833096151,Morning Hike,2022-09-19T07:22:26Z,Hike,755.8,1026,1262,1.0,"[40.79379854723811, -111.93452873267233]",66.1,49.1,1286.0,1284.2,g10053422
131,7832926715,Morning Trail Run,2022-09-19T05:34:55Z,Run,11984.6,4639,4879,485.0,"[40.84631812758744, -111.85351721942425]",129.5,87.9,2175.6,1692.2,g11501925
132,7831065870,Afternoon Hike,2022-09-18T13:53:46Z,Hike,8395.7,7886,10042,402.0,"[40.71414666250348, -110.89307726360857]",91.1,53.0,3379.0,3038.2,g8687054
133,7829168588,Morning Hike,2022-09-18T09:46:55Z,Hike,780.2,973,1212,0.0,[],59.8,53.2,1286.2,1284.2,g10053422
134,7825063691,Afternoon Hike,2022-09-17T17:28:07Z,Hike,791.9,709,1189,0.0,[],64.2,54.8,1286.8,1284.8,g10053422
135,7823543002,Morning Trail Run,2022-09-17T06:58:34Z,Run,16841.7,9748,10135,1092.0,"[40.69966080598533, -111.71620354056358]",115.5,71.8,2633.8,1863.2,g11501925
136,7819726239,Afternoon Hike,2022-09-16T17:58:30Z,Hike,1670.0,1540,2298,0.0,"[40.79381640069187, -111.93439118564129]",65.9,57.0,1286.4,1284.8,g10053422
137,7817919373,Morning Trail Run,2022-09-16T08:45:15Z,Run,9762.3,3568,3882,293.0,"[40.86386932991445, -111.8367088213563]",122.2,87.8,1904.8,1595.6,g11501925
138,7814776539,Afternoon Trail Run,2022-09-15T16:03:01Z,Run,7316.9,2574,2651,295.0,"[40.791676081717014, -111.8783604260534]",127.4,88.8,1720.6,1429.4,g11501925
139,7809447728,Afternoon Ride,2022-09-14T15:54:18Z,Ride,3739.7,767,875,72.0,"[40.754032619297504, -111.82567865587771]",107.1,,1525.0,1454.6,b4786712
140,7807260744,Morning Ride,2022-09-14T08:29:03Z,Ride,3228.8,547,673,54.0,"[40.76032851822674, -111.84007147327065]",105.9,,1529.8,1459.4,b4786712
141,7804171531,Afternoon Trail Run,2022-09-13T15:11:30Z,Run,8147.0,3665,3839,465.0,"[40.83532894961536, -111.87057623639703]",117.8,79.4,2195.4,1779.4,g11501925
142,7803392283,Lunch Hike,2022-09-13T12:06:12Z,Hike,3485.4,2088,2163,72.0,"[40.76235325075686, -111.82421207427979]",85.5,60.7,1549.4,1520.0,g10053422
143,7799224813,Evening Hike,2022-09-12T19:31:11Z,Hike,3278.5,3129,3346,1.0,"[40.793750770390034, -111.93456016480923]",72.3,53.4,1286.0,1283.4,g10053422
144,7798289944,Afternoon Trail Run,2022-09-12T14:32:25Z,Run,9710.3,3041,3069,277.0,"[40.72737766429782, -111.80596056394279]",141.5,89.1,1698.0,1578.4,g11501925
145,7793970066,Afternoon Ride,2022-09-11T17:31:34Z,Ride,20661.8,3823,6827,38.0,"[40.79372067935765, -111.93467843346298]",111.2,,1295.8,1285.0,b4786712
146,7793281618,Afternoon Hike,2022-09-11T13:22:39Z,Hike,2196.8,2504,3076,95.0,"[40.69802859798074, -111.71639992855489]",84.0,53.6,1992.4,1908.4,g10053422
147,7785724899,Night Trail Run,2022-09-09T22:29:20Z,Run,36213.9,29830,32809,2012.0,"[40.59775999747217, -111.58437992446125]",107.6,55.3,3021.4,1861.2,g10429935
148,7782265882,Afternoon Hike,2022-09-09T17:52:47Z,Hike,2307.1,2273,2635,2.0,"[40.79372218810022, -111.93457810208201]",68.0,55.2,1287.2,1284.2,g10053422
149,7782265795,Lunch Hike,2022-09-09T12:20:31Z,Hike,1263.5,805,805,25.0,"[40.7625928055495, -111.8244153354317]",94.4,58.8,1681.0,1516.6,g10053422
150,7782265766,Morning Hike,2022-09-09T09:35:20Z,Hike,1255.1,804,804,27.0,"[40.77015210874379, -111.8334676232189]",87.5,60.8,1541.0,1520.6,g10053422
151,7777909960,Evening Hike,2022-09-08T20:00:40Z,Hike,2239.5,2039,2245,1.0,"[40.79375110566616, -111.93455203436315]",92.7,54.5,1286.8,1279.4,g10053422
152,7777578312,Afternoon Mountain Bike Ride,2022-09-08T15:34:38Z,Ride,18715.8,6280,7178,759.0,"[40.684573547914624, -111.64718854241073]",122.3,,2969.6,2333.6,b3678440
153,7774758100,Morning Trail Run,2022-09-08T05:56:17Z,Run,12865.6,4909,5018,525.0,"[40.846401024609804, -111.8538445327431]",122.2,87.8,2190.0,1687.2,g11501925
154,7772831105,Evening Hike,2022-09-07T19:49:26Z,Hike,2412.7,2418,2947,0.0,"[40.793758230283856, -111.9346253760159]",68.6,52.7,1287.4,1283.8,g10053422
155,7763664424,Morning Yoga,2022-09-06T06:33:20Z,Yoga,0.0,2101,2101,0,[],63.5,,,,
156,7758877407,Morning Trail Run,2022-09-05T08:03:55Z,Run,11315.2,4661,5015,536.0,"[40.689365565776825, -111.66055935434997]",118.9,83.1,2704.6,2236.6,g10644275
157,7756345716,Evening Hike,2022-09-04T19:45:36Z,Hike,2884.6,2615,2910,2.0,"[40.79376954585314, -111.93455304019153]",72.5,54.9,1286.6,1283.8,g10053422
158,7755288346,Lunch Trail Run,2022-09-04T11:14:02Z,Run,11507.6,6093,6195,889.0,"[40.92249638400972, -111.86624363064766]",126.0,73.7,2254.4,1401.2,g10644275
159,7748137486,Morning Trail Run,2022-09-03T07:04:52Z,Run,15742.5,8479,8774,1002.0,"[40.634711449965835, -111.61474026739597]",114.5,73.5,3089.4,2311.0,g10644275
160,7744819487,Evening Hike,2022-09-02T20:15:12Z,Hike,1923.0,1684,1733,2.0,"[40.79378044232726, -111.93465001881123]",100.8,55.1,1287.0,1284.4,g10053422
